153,KBytes,1.26,Mbits/sec,1.26,578
268,KBytes,2.2,Mbits/sec,2.2,579
79.3,KBytes,650,Kbits/sec,0.65,580
122,KBytes,997,Kbits/sec,0.997,581
270,KBytes,2.21,Mbits/sec,2.21,582
144,KBytes,1.18,Mbits/sec,1.18,583
132,KBytes,1.08,Mbits/sec,1.08,584
139,KBytes,1.14,Mbits/sec,1.14,585
164,KBytes,1.34,Mbits/sec,1.34,586
110,KBytes,899,Kbits/sec,0.899,587
5.29,KBytes,43.3,Kbits/sec,0.0433,588
88.6,KBytes,726,Kbits/sec,0.726,589
9.26,KBytes,75.8,Kbits/sec,0.0758,590
84.6,KBytes,694,Kbits/sec,0.694,591
15.9,KBytes,130,Kbits/sec,0.13,592
19.8,KBytes,162,Kbits/sec,0.162,593
3.97,KBytes,32.5,Kbits/sec,0.0325,594
21.2,KBytes,173,Kbits/sec,0.173,595
17.2,KBytes,141,Kbits/sec,0.141,596
21.2,KBytes,173,Kbits/sec,0.173,597
11.9,KBytes,97.5,Kbits/sec,0.0975,598
41,KBytes,336,Kbits/sec,0.336,599
68.8,KBytes,563,Kbits/sec,0.563,600
159,KBytes,1.3,Mbits/sec,1.3,601
255,KBytes,2.09,Mbits/sec,2.09,602
180,KBytes,1.47,Mbits/sec,1.47,603
245,KBytes,2,Mbits/sec,2,604
292,KBytes,2.39,Mbits/sec,2.39,605
386,KBytes,3.16,Mbits/sec,3.16,606
311,KBytes,2.55,Mbits/sec,2.55,607
460,KBytes,3.77,Mbits/sec,3.77,608
428,KBytes,3.51,Mbits/sec,3.51,609
512,KBytes,4.19,Mbits/sec,4.19,610
612,KBytes,5.02,Mbits/sec,5.02,611
873,KBytes,7.15,Mbits/sec,7.15,612
807,KBytes,6.61,Mbits/sec,6.61,613
804,KBytes,6.59,Mbits/sec,6.59,614
1.25,MBytes,10.5,Mbits/sec,10.5,615
1.23,MBytes,10.3,Mbits/sec,10.3,616
1.4,MBytes,11.8,Mbits/sec,11.8,617
1.01,MBytes,8.44,Mbits/sec,8.44,618
1.23,MBytes,10.3,Mbits/sec,10.3,619
1.36,MBytes,11.4,Mbits/sec,11.4,620
1.02,MBytes,8.59,Mbits/sec,8.59,621
846,KBytes,6.93,Mbits/sec,6.93,622
1022,KBytes,8.37,Mbits/sec,8.37,623
592,KBytes,4.85,Mbits/sec,4.85,624
